"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202101","2","39,000","5","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202101","7","29,000","4","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","84.3857","183.26","202101","8","40,000","5","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202101","16","28,700","4","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202101","16","41,000","5","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202102","4","40,500","5","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202102","21","28,500","2","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202102","25","41,000","5","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202103","20","29,200","2","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","84.3857","183.26","202103","21","33,000","3","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","84.3857","183.26","202103","30","34,400","4","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202104","2","29,350","2","2016","여대길 290",""
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","73.9788","160.66","202104","5","29,400","2","2016","여대길 290",""
