"행정구역","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율"
"서울특별시  (1100000000)","9,532,428","4,422,587","          2.16","4,630,630","4,901,798","          0.94"
"서울특별시 종로구 (1111000000)","145,346","73,613","          1.97","70,552","74,794","          0.94"
"서울특별시 중구 (1114000000)","122,781","63,409","          1.94","59,802","62,979","          0.95"
"서울특별시 용산구 (1117000000)","223,713","111,067","          2.01","107,607","116,106","          0.93"
"서울특별시 성동구 (1120000000)","287,174","134,517","          2.13","139,958","147,216","          0.95"
"서울특별시 광진구 (1121500000)","340,814","167,559","          2.03","164,425","176,389","          0.93"
"서울특별시 동대문구 (1123000000)","337,538","167,754","          2.01","166,842","170,696","          0.98"
"서울특별시 중랑구 (1126000000)","388,218","185,505","          2.09","191,601","196,617","          0.97"
"서울특별시 성북구 (1129000000)","432,081","195,126","          2.21","208,308","223,773","          0.93"
"서울특별시 강북구 (1130500000)","300,278","144,501","          2.08","146,240","154,038","          0.95"
"서울특별시 도봉구 (1132000000)","318,299","138,655","          2.30","154,970","163,329","          0.95"
"서울특별시 노원구 (1135000000)","512,129","217,201","          2.36","246,650","265,479","          0.93"
"서울특별시 은평구 (1138000000)","473,369","214,126","          2.21","226,514","246,855","          0.92"
"서울특별시 서대문구 (1141000000)","305,840","143,723","          2.13","146,208","159,632","          0.92"
"서울특별시 마포구 (1144000000)","369,695","179,571","          2.06","173,985","195,710","          0.89"
"서울특별시 양천구 (1147000000)","448,634","181,434","          2.47","219,862","228,772","          0.96"
"서울특별시 강서구 (1150000000)","575,370","270,623","          2.13","277,041","298,329","          0.93"
"서울특별시 구로구 (1153000000)","397,330","180,541","          2.20","195,909","201,421","          0.97"
"서울특별시 금천구 (1154500000)","230,740","116,935","          1.97","116,588","114,152","          1.02"
"서울특별시 영등포구 (1156000000)","377,524","186,585","          2.02","186,390","191,134","          0.98"
"서울특별시 동작구 (1159000000)","386,246","184,598","          2.09","186,863","199,383","          0.94"
"서울특별시 관악구 (1162000000)","487,357","276,315","          1.76","244,844","242,513","          1.01"
"서울특별시 서초구 (1165000000)","415,083","171,083","          2.43","198,470","216,613","          0.92"
"서울특별시 강남구 (1168000000)","533,878","234,533","          2.28","255,473","278,405","          0.92"
"서울특별시 송파구 (1171000000)","659,239","282,185","          2.34","317,773","341,466","          0.93"
"서울특별시 강동구 (1174000000)","463,752","201,428","          2.30","227,755","235,997","          0.97"
"부산광역시  (2600000000)","3,356,311","1,541,975","          2.18","1,642,368","1,713,943","          0.96"
"부산광역시 중구 (2611000000)","40,676","23,909","          1.70","19,838","20,838","          0.95"
"부산광역시 서구 (2614000000)","105,557","53,038","          1.99","51,084","54,473","          0.94"
"부산광역시 동구 (2617000000)","87,705","46,123","          1.90","42,908","44,797","          0.96"
"부산광역시 영도구 (2620000000)","111,111","54,721","          2.03","54,707","56,404","          0.97"
"부산광역시 부산진구 (2623000000)","354,428","173,300","          2.05","170,785","183,643","          0.93"
"부산광역시 동래구 (2626000000)","266,912","115,301","          2.31","129,758","137,154","          0.95"
"부산광역시 남구 (2629000000)","263,236","118,005","          2.23","128,616","134,620","          0.96"
"부산광역시 북구 (2632000000)","283,766","123,090","          2.31","140,183","143,583","          0.98"
"부산광역시 해운대구 (2635000000)","397,516","172,349","          2.31","191,154","206,362","          0.93"
"부산광역시 사하구 (2638000000)","306,605","139,393","          2.20","152,569","154,036","          0.99"
"부산광역시 금정구 (2641000000)","229,148","108,131","          2.12","111,981","117,167","          0.96"
"부산광역시 강서구 (2644000000)","142,444","61,157","          2.33","73,811","68,633","          1.08"
"부산광역시 연제구 (2647000000)","205,607","92,572","          2.22","98,989","106,618","          0.93"
"부산광역시 수영구 (2650000000)","175,583","85,693","          2.05","82,913","92,670","          0.89"
"부산광역시 사상구 (2653000000)","209,138","98,616","          2.12","105,543","103,595","          1.02"
"부산광역시 기장군 (2671000000)","176,879","76,577","          2.31","87,529","89,350","          0.98"
"대구광역시  (2700000000)","2,390,721","1,062,993","          2.25","1,178,486","1,212,235","          0.97"
"대구광역시 중구 (2711000000)","74,682","38,354","          1.95","35,858","38,824","          0.92"
"대구광역시 동구 (2714000000)","340,575","157,655","          2.16","167,505","173,070","          0.97"
"대구광역시 서구 (2717000000)","165,862","82,669","          2.01","82,929","82,933","          1.00"
"대구광역시 남구 (2720000000)","144,119","76,518","          1.88","69,287","74,832","          0.93"
"대구광역시 북구 (2723000000)","436,499","189,829","          2.30","217,197","219,302","          0.99"
"대구광역시 수성구 (2726000000)","418,833","171,473","          2.44","202,574","216,259","          0.94"
"대구광역시 달서구 (2729000000)","547,340","235,328","          2.33","269,775","277,565","          0.97"
"대구광역시 달성군 (2771000000)","262,811","111,167","          2.36","133,361","129,450","          1.03"
"인천광역시  (2800000000)","2,945,009","1,294,158","          2.28","1,474,536","1,470,473","          1.00"
"인천광역시 중구 (2811000000)","142,618","70,478","          2.02","74,127","68,491","          1.08"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","61,977","28,876","          2.15","31,266","30,711","          1.02"
"인천광역시 미추홀구 (2817700000)","406,789","192,769","          2.11","204,898","201,891","          1.01"
"인천광역시 연수구 (2818500000)","389,926","155,914","          2.50","193,568","196,358","          0.99"
"인천광역시 남동구 (2820000000)","518,662","227,888","          2.28","257,616","261,046","          0.99"
"인천광역시 부평구 (2823700000)","488,092","213,289","          2.29","240,990","247,102","          0.98"
"인천광역시 계양구 (2824500000)","294,852","127,170","          2.32","146,853","147,999","          0.99"
"인천광역시 서구 (2826000000)","552,338","231,257","          2.39","278,877","273,461","          1.02"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,351","34,433","          2.01","34,698","34,653","          1.00"
"인천광역시 옹진군 (2872000000)","20,404","12,084","          1.69","11,643","8,761","          1.33"
"광주광역시  (2900000000)","1,442,454","643,841","          2.24","713,483","728,971","          0.98"
"광주광역시 동구 (2911000000)","103,443","52,059","          1.99","51,016","52,427","          0.97"
"광주광역시 서구 (2914000000)","291,705","132,548","          2.20","142,908","148,797","          0.96"
"광주광역시 남구 (2915500000)","215,043","95,293","          2.26","103,318","111,725","          0.92"
"광주광역시 북구 (2917000000)","427,684","195,305","          2.19","212,370","215,314","          0.99"
"광주광역시 광산구 (2920000000)","404,579","168,636","          2.40","203,871","200,708","          1.02"
"대전광역시  (3000000000)","1,454,228","662,615","          2.19","725,742","728,486","          1.00"
"대전광역시 동구 (3011000000)","223,384","107,958","          2.07","112,624","110,760","          1.02"
"대전광역시 중구 (3014000000)","231,852","107,794","          2.15","114,258","117,594","          0.97"
"대전광역시 서구 (3017000000)","474,046","213,020","          2.23","233,068","240,978","          0.97"
"대전광역시 유성구 (3020000000)","350,284","154,560","          2.27","176,936","173,348","          1.02"
"대전광역시 대덕구 (3023000000)","174,662","79,283","          2.20","88,856","85,806","          1.04"
"울산광역시  (3100000000)","1,122,566","481,811","          2.33","576,723","545,843","          1.06"
"울산광역시 중구 (3111000000)","213,579","93,658","          2.28","108,103","105,476","          1.02"
